graph_order,acronym,name_x,DHBA_name,DHBA_acronym,DHBA_id,color_hex_triplet,uDHBA_id,r,g,b,a,vis,msh
474,IsCjs2,type 2 of IsCjs (Gfra1 positive islands),,,DHBA:AA30198,,940,250,190,212,1,1,1
475,IsCjs3,type 3 of IsCjs,,,DHBA:AA30199,,941,245,130,48,1,1,1
476,STRcp,compartments of striatum,,,DHBA:AA30202,,944,128,0,0,1,1,1
477,STRs,striosome (patches) of striatum,,,DHBA:AA30203,,945,128,128,0,1,1,1
478,STRm,matrix of striatum,,,DHBA:AA30204,,946,60,180,75,1,1,1
479,STRvs,patch-less ventral striatum,,,DHBA:AA30778,,2327,128,128,128,1,1,1
480,GP,globus pallidus (paleostriatum),globus pallidus,GP,DHBA:10342,#D7E0BF,131,66,102,183,1,1,1
481,GPe,external division of globus pallidus,external segment of globus pallidus,GPe,DHBA:10343,#D7E0BF,132,39,43,225,1,1,1
482,GPin,interstitial cholinergic nucleus of globus pallidus,,,DHBA:AA30205,,947,170,110,40,1,1,1
483,VeP,ventral pallidum,Ventral pallidus,VeP,DHBA:10345,#C1CEA7,134,125,206,176,1,1,1
484,GPi,internal division of globus pallidus,internal segment of globus pallidus,GPi,DHBA:10344,#D0D9B2,133,56,210,102,1,1,1
485,GPiM,medial (central) portion of GPi ,,,DHBA:AA30206,,948,0,128,128,1,1,1
486,GPiL,lateral (peripheral) portion of GPi,,,DHBA:AA30207,,949,170,255,195,1,1,1
487,EnPN,entopeduncular nucleus,entopeduncular nucleus,EnPN,DHBA:146034758,#A8B485,950,0,0,128,1,1,1
488,BGDe,developing transient structures of basal ganglia,,,DHBA:AA30208,,951,240,50,230,1,1,1
489,SCB,striatal-cortical (cortical-striatal) boundary,,,DHBA:AA30209,,952,145,30,180,1,1,1
490,LMS,lateral migratory stream,,,DHBA:AA30210,,953,0,128,128,1,1,1
491,MGE,medial ganglionic eminence,medial ganglionic eminence,MGE,DHBA:10550,#8C7373,954,0,130,200,1,1,1
492,LGE,lateral ganglionic eminence,lateral ganglionic eminence,LGE,DHBA:10551,#937B7C,955,255,215,180,1,1,1
493,CGE,caudal ganglionic eminence,caudal ganglionic eminence,CGE,DHBA:10552,#81696B,956,170,110,40,1,1,1
494,CMS,caudal migratory stream,,,DHBA:AA30211,,957,230,25,75,1,1,1
495,SCBm,medial striatal-cortical boundary,,,DHBA:AA30212,,958,255,215,180,1,1,1
496,SMS,septal (medial) migratory stream,,,DHBA:AA30213,,959,0,130,200,1,1,1
497,IPTC,interpallidal transient cell zone,interpallidal transient cell zone,IPTC,DHBA:13074,#CDBABA,960,230,25,75,1,1,1
498,TCete,transient cell zone in external capsule,transient cell zone in external capsule,TCete,DHBA:146034626,#EBE1E2,961,240,50,230,1,1,1
499,TCexc,transient cell zone in extreme capsule,transient cell zone in extreme capsule,TCexc,DHBA:13321,#EBE1E2,962,0,0,128,1,1,1
500,BF,basal forebrain,basal forebrain,BF,DHBA:10349,#DDDDAF,139,53,171,128,1,1,1
501,BFSe,segmentation of basal forebrain,,,DHBA:AA30214,,963,60,180,75,1,1,1
502,BNM,basal nucleus of Meynert,basal nucleus of Meynert,BNM,DHBA:10353,#8F8E42,144,156,253,240,1,1,1
503,BNMl,lateral cell groups of basal nucleus of Meynert,lateral cell groups of basal nucleus,BNMl,DHBA:11553,#8F8E42,964,170,110,40,1,1,1
504,BNMm,medial cell groups of basal nucleus of Meynert,medial cell groups of basal nucleus,BNMm,DHBA:11554,#8F8E42,965,128,128,128,1,1,1
505,NSP,nucleus subputaminalis,nucleus subputaminalis,NSP,DHBA:10357,#BCBA80,966,170,110,40,1,1,1
506,NDB,nucleus of diagonal band,nucleus of diagonal band,NDB,DHBA:10354,#B3B374,145,38,105,152,1,1,1
507,NDBv,vertical subdivision of nucleus of diagonal band,vertical subdivision of nucleus of diagonal band,NDBv,DHBA:10355,#A8A767,967,255,215,180,1,1,1
508,NDBh,horizontal subdivision of nucleus of diagonal band,horizontal subdivision of nucleus of diagonal band,NDBh,DHBA:10356,#9E9E5D,968,245,130,48,1,1,1
509,SI,substantia innominata,substantia innominata,SI,DHBA:13034,#CACA92,147,44,241,98,1,1,1
510,SIpc,lightly-stained parvocellular islands of SI,lightly-stained parvocellular islands of SI,SI-pc,DHBA:266441495,#C4C288,969,255,225,25,1,1,1
511,SInc,darkly-stained nanocellular islands of SI,darkly-stained nanocellular islands of SI,SI-nc,DHBA:266441499,#989750,970,0,0,128,1,1,1
512,SIdi,other (diffuse) part of SI,,,DHBA:AA30215,,971,255,250,200,1,1,1
513,SEP,septal region (septal nuclear complex),septal nuclei,SEP,DHBA:10350,#CACA92,140,235,112,60,1,1,1
514,SEPr,rostral septal nuclear complex,,,DHBA:AA30216,,972,128,128,0,1,1,1
515,MSN,medial septal nucleus,medial septal nucleus,MSN,DHBA:10351,#C3C286,141,219,185,214,1,1,1
516,LSN,lateral septal nuclear complex,lateral septal nucleus,LSN,DHBA:10352,#BCBA80,142,57,252,62,1,1,1
517,LSd,dorsal division of lateral septal nucleus,dorsal division of lateral septal nucleus,LSNd,DHBA:11550,#B3B374,973,0,130,200,1,1,1
518,LSi,intermediate division of lateral septal nucleus,intermediate division of lateral septal nucleus,LSNi,DHBA:11551,#BCBA80,974,0,128,128,1,1,1
519,LSv,ventral division of lateral septal nucleus,ventral division of lateral septal nucleus,LSNv,DHBA:11552,#B3B374,975,250,190,212,1,1,1
520,LSr,rostral extension of lateral septal nucleus (semilunar nucleus),,,DHBA:AA30217,,976,60,180,75,1,1,1
521,SHy,septohypothalamic nucleus,septohypothalamic nucleus,SHy,DHBA:13033,#B3B374,977,128,128,0,1,1,1
522,SHi,septohipocampal nucleus,septohipocampal nucleus,SHi,DHBA:13029,#C3C286,978,128,0,0,1,1,1
523,PLd,paralambdoid septal nucleus,paralambdoid septal nucleus,PLd,DHBA:13031,#B3B374,979,170,255,195,1,1,1
524,SEPc,caudal septal nuclear complex,,,DHBA:AA30218,,980,0,128,128,1,1,1
525,SFi,septofimbrial nucleus,septofimbrial nucleus,SFi,DHBA:13032,#CACA92,981,128,0,0,1,1,1
526,TrS,triangular septal nucleus,triangular septal nucleus,TSN,DHBA:266441491,#A9A868,982,245,130,48,1,1,1
527,BAC,Bed nucleus of anterior commissure,,,DHBA:AA30219,,983,220,190,255,1,1,1
528,SFO,subfornical organ,subfornical organ,SFO,DHBA:12104,#87281A,331,208,156,169,1,1,1
529,BFx,uncharted (diffuse) part of basal forebrain,,,DHBA:AA30220,,984,240,50,230,1,1,1
530,BFDe, developing transient structures of basal forebrain,,,DHBA:AA30221,,985,170,110,40,1,1,1
531,seVZ,ventricular zone of septal region,VZ in septal region,seVZ,DHBA:13313,#787A32,986,70,240,240,1,1,1
532,AMY,amygdaloid complex,amygdaloid complex,AMY,DHBA:10361,#C9E2B1,97,189,206,79,1,1,1
533,AMYSe,segmentation of amygdaloid complex,,,DHBA:AA30222,,987,170,110,40,1,1,1
534,ACEN,anterior-central nuclear group of amygdala,,,DHBA:AA30223,,988,128,128,128,1,1,1
535,AAA,anterior amygdaloid area,anterior amygdaloid area,AAA,DHBA:10362,#C0DD9D,98,152,215,53,1,1,1
536,AAAd,dorsal part of anterior amygdaloid area,dorsal part of AAA,AAAd,DHBA:146034710,#9CCC66,989,220,190,255,1,1,1
537,AAAv,lateral part of anterior amygdaloid area,ventral part of AAA,AAAv,DHBA:146034714,#92C851,990,145,30,180,1,1,1
538,CEN,central nucleus of amygdala,central nuclear group,CEN,DHBA:10363,#AFD58A,99,171,113,214,1,1,1
539,CeM,medial division of the central nucleus,central medial nucleus of thalamus,CeM,DHBA:10445,#B67BB4,991,245,130,48,1,1,1
540,CeM,central medial nucleus of thalamus,central medial nucleus of thalamus,CeM,DHBA:10445,#B67BB4,991,245,130,48,1,1,1
541,CeL,lateral division of the central nucleus,lateral subdivision of central nucleus,CEl,DHBA:10365,#AFD58A,992,128,128,128,1,1,1
542,CeC,capsular division of the central nucleus,,,DHBA:AA30224,,993,170,255,195,1,1,1
543,CMN,corticomedial nuclear group of amygdala,corticomedial nuclear group,CMN,DHBA:10372,#A6D17A,100,56,203,45,1,1,1
544,Co,cortical nucleus of amygdala,cortical amygdaloid nuclei,Co,DHBA:10373,#9CCC66,101,87,50,62,1,1,1
545,CoR,rostral cortical nucleus of amygdala,dorsal subdivision of CoA,CoAd,DHBA:11528,#92C851,994,128,0,0,1,1,1
546,CoC,caudal cortical nucleus of amygdala,dorsal subdivision of CoP,CoPd,DHBA:146034718,#9CCC66,995,170,255,195,1,1,1
547,PAC,periamygdaloid cortex,,,DHBA:AA30225,,996,60,180,75,1,1,1
548,PACr,rostral periamygdaloid cortex (ventral division of CoA) ,ventral subdivision of CoA,CoAv,DHBA:11529,#89BA46,997,245,130,48,1,1,1
549,PACc,caudal periamygdaloid cortex (ventral division of CoP) ,venrtral subdivision of CoP,CoPv,DHBA:146034722,#92C851,998,145,30,180,1,1,1
550,PACs,sulcal periamygdaloid cortex,,,DHBA:AA30779,,2328,60,180,75,1,1,1
551,LOT,nucleus of lateral olfactory tract,nucleus of lateral olfactory tract,NLOT,DHBA:10309,#9988BB,999,128,128,128,1,1,1
552,Me,medial nuclear complex of amygdala,medial nucleus,Me,DHBA:10376,#9CCC66,104,215,236,224,1,1,1
553,MeR,rostral medial nucleus,rostral subdivision of medial nucleus,MeR,DHBA:11530,#9CCC66,1000,230,25,75,1,1,1
554,MeRd,dorsal subdivision of rostral medial nucleus,,,DHBA:AA30226,,1001,70,240,240,1,1,1
555,MeRv,ventral subdivision of rostral medial nucleus,,,DHBA:AA30227,,1002,0,130,200,1,1,1
556,MeRm,medial subdivision of rostral medial nucleus,,,DHBA:AA30228,,1003,145,30,180,1,1,1
557,BAOT,bed nucleus of accessory olfactory tract,,,DHBA:AA30229,,1004,128,128,0,1,1,1
558,MeC,caudal medial nucleus,caudal subdivision of medial nucleus,MeC,DHBA:11531,#9CCC66,1005,60,180,75,1,1,1
559,MeCd,dorsal subdivision of caudal medial nucleus,dorsal part of caudal medial nucleus,MeCd,DHBA:11532,#9CCC66,1006,70,240,240,1,1,1
560,MeCv,ventral subdivision of caudal medial nucleus,ventral part of caudal medial nucleus,MeCv,DHBA:11533,#92C851,1007,145,30,180,1,1,1
561,MeCm,medial subdivision of caudal medial nucleus,,,DHBA:AA30230,,1008,230,25,75,1,1,1
562,AHA,amygdalohippocampal area,amygdalohippocampal area,AHA,DHBA:10377,#89BA46,105,6,55,109,1,1,1
563,AHAmc,magnocellular division of amygdalohippocampal area,magnocellular part of amygdalohippocampal area,AHAmc,DHBA:146034726,#72983F,1009,255,250,200,1,1,1
564,AHApc,parvicellular division of amygdalohippocampal area,parvocellular part of amygdalohippocampal area,AHApc,DHBA:146034730,#82B146,1010,245,130,48,1,1,1
565,BLN,basolateral nuclear group of amygdala,basolateral nuclear group,BLN,DHBA:10366,#A6D17A,106,28,4,227,1,1,1
566,La,lateral nucleus of amygdala,lateral nucleus,La,DHBA:10367,#A6D17A,107,58,166,176,1,1,1
567,LaD,dorsal division of lateral nucleus,dorsal division of lateral nucleus,LaD,DHBA:11507,#92C851,1011,170,255,195,1,1,1
568,LaDl,lateral subdivision of LaD ,dorsal lateral subdivision of lateral nucleus,LaDl,DHBA:11509,#92C851,1012,245,130,48,1,1,1
569,LaDm,medial subdivision of LaD ,dorsal medial subdivision of lateral nucleus,LaDm,DHBA:11511,#92C851,1013,220,190,255,1,1,1
570,LaI,intermediate division of lateral nucleus,intermediate division of lateral nucleus,LaI,DHBA:11512,#A6D17A,1014,255,250,200,1,1,1
571,LaV,ventral division of lateral nucleus,ventral division of lateral nucleus,LaV,DHBA:11513,#89BA46,1015,250,190,212,1,1,1
572,LaVl,lateral subdivision of LaV,ventral lateral subdivision of lateral nucleus,LaVl,DHBA:11514,#89BA46,1016,255,215,180,1,1,1
573,LaVm,medial subdivision of LaV,ventral medial subdivision of lateral nucleus,LaVm,DHBA:11515,#89BA46,1017,70,240,240,1,1,1
574,LaGlo,glomerular cell islands in LaV,glomerular subdivision of lateral nucleus,LaVglo,DHBA:146034734,#82B146,1018,128,0,0,1,1,1
575,BL,basolateral nucleus (basal nucleus) of amygdala,basolateral nucleus (basal nucleus),BL,DHBA:10368,#89BA46,108,14,18,133,1,1,1
576,BLr,rostral (uncharted) division of BL,,,DHBA:AA30231,,1019,0,0,128,1,1,1
577,BLmc,magnocellular (dorsal) division of BL,dorsal (magnocellular) division of basolateral nucleus,BLD,DHBA:11516,#779E3F,1020,0,128,128,1,1,1
578,BLmcd,dorsolateral subdivision of BLmc,dorsal lateral subdivision of basolateral nucleus,BLDl,DHBA:11517,#779E3F,1021,220,190,255,1,1,1
579,BLmcl,lateral subdivision of BLmc,,,DHBA:AA30232,,1022,145,30,180,1,1,1
580,BLmcm,medial subdivision of BLmc,,,DHBA:AA30233,,1023,245,130,48,1,1,1
581,BLi,intermediate division of BL,intermediate division of basolateral nucleus,BLI,DHBA:11518,#7EA541,1024,220,190,255,1,1,1
582,BLpc,parvicellular (ventral) division of BL,ventral (parvicellular) division of basolateral nucleus,BLV,DHBA:11519,#82B146,1025,128,0,0,1,1,1
583,BLpcl,lateral subdivision of BLpc,ventral lateral subdivision of basolateral nucleus,BLVl,DHBA:11520,#82B146,1026,255,250,200,1,1,1
584,BLpcm,medial subdivision of BLpc (basoventral nucleus),ventral medial subdivision of basolateral nucleus,BLVm,DHBA:11521,#82B146,1027,255,225,25,1,1,1
585,PL,paralaminar nucleus of amygdala,paralaminar nucleus,PL,DHBA:10370,#92C851,1028,255,215,180,1,1,1
586,PLglo,glomerular cell islands in PL,glomerular part of paralaminar nucleus,PLglo,DHBA:146034738,#89BA46,1029,255,225,25,1,1,1
587,BM,basomedial nucleus (accessory basal nucleus) of amygdala,basomedial nucleus (accessory basal nucleus),BM,DHBA:10369,#9CCC66,109,123,167,28,1,1,1
588,BMr,rostral division of BM,,,DHBA:AA30234,,1030,128,128,0,1,1,1
589,BMmc,magnocellular (dorsal) division of BM,dorsal division of basomedial nucleus,BMD,DHBA:11522,#7EA541,1031,128,0,0,1,1,1
590,BMmcl,lateral subdivision of BMmc,dorsolateral subdivision of basomedial nucleus,BMDl,DHBA:11523,#7EA541,1032,128,0,0,1,1,1
591,BMmcm,medial subdivsion of BMmc,dorsomedial (magnocellular) subdivsion of basomedial nucleus,BMDm,DHBA:11524,#7EA541,1033,128,128,128,1,1,1
592,BMpc,parvicellular (ventral) division of BM,ventral division of basomedial nucleus,BMV,DHBA:11525,#89BA46,1034,70,240,240,1,1,1
593,BMpcl,lateral subdivsion of BMpc,ventrolateral (parvocellular) subdivsion of basomedial nucleus,BMVl,DHBA:11526,#89BA46,1035,255,225,25,1,1,1
594,BMpcm,medial  subdivsion of BMpc,ventromedial  subdivsion of basomedial nucleus,BMVm,DHBA:11527,#89BA46,1036,210,245,60,1,1,1
595,BMm,medial division of BM,medial division of basomedial nucleus,BMm,DHBA:266441447,#82B146,1037,145,30,180,1,1,1
596,BMdc,densocelllular division of BM,,,DHBA:AA30235,,1038,128,0,0,1,1,1
597,InA,intercalated nuclei of amygdala,Intercalated nucleus of amygdala,INA,DHBA:10378,#72983F,1039,70,240,240,1,1,1
598,InAmj,major intercalated nucleus of amygdala,,,DHBA:AA30236,,1040,128,0,0,1,1,1
599,InAs,small intercalated nuclei of amygdala,,,DHBA:AA30237,,1041,255,215,180,1,1,1
600,ATA,amygdaloid transition areas,amygdaloid transition areas,ATA,DHBA:10379,#EBBE97,110,205,203,198,1,1,1
601,AHTA,amygdalohippocampal transition area,amygdalohippocampal transition area,AHTA,DHBA:10380,#E7B080,111,89,52,183,1,1,1
602,AHTAmc,magnocellular division of AHTA,,,DHBA:AA30238,,1042,128,128,128,1,1,1
603,AHTApc,parvicellular division of AHTA,,,DHBA:AA30239,,1043,210,245,60,1,1,1
604,ACTA,amygdalocortical transition area,amygdalocortical (corticoamygdaloid) transition area,ACTA,DHBA:10382,#E39E67,113,199,105,19,1,1,1
605,AMYx,uncharted (diffuse) part of amygdaloid complex,,,DHBA:AA30240,,1044,70,240,240,1,1,1
606,AMYDe,developing transient structures of amygdalar region,,,DHBA:AA30241,,1045,70,240,240,1,1,1
607,paVZ,ventricular zone of postamygdaloid region,VZ in postamygdaloid region,paVZ,DHBA:10553,#678B3C,1046,250,190,212,1,1,1
608,CAS,caudal amygdaloid migratory stream,,,DHBA:AA30242,,1047,230,25,75,1,1,1
609,EXA,extended amygdala,extended amygdala,EXA,DHBA:10383,#C7E4CA,114,73,66,52,1,1,1
610,EXASe,segmentation of extended amygdala,,,DHBA:AA30243,,1048,0,0,128,1,1,1
611,BST,bed nucleus of stria terminalis,bed nucleus of stria terminalis,BNST,DHBA:10384,#A9D7AE,115,240,50,230,1,1,1
612,BSTr,rostral division of BST,,,DHBA:AA30244,,1049,0,128,128,1,1,1
613,BSTrm,medial subdivision of BSTr,,,DHBA:AA30245,,1050,210,245,60,1,1,1
614,BSTrl,lateral subdivision of BNSr,,,DHBA:AA30246,,1051,128,128,128,1,1,1
615,BSTrlj,juxtacapsular part of BSTrl,,,DHBA:AA30247,,1052,255,250,200,1,1,1
616,BSTrlv,ventral part of BSTrl,,,DHBA:AA30248,,1053,145,30,180,1,1,1
617,BSTfu,fusiform nucleus of BSTrl,,,DHBA:AA30249,,1054,0,130,200,1,1,1
618,BSTov,oval subdivision of BSTr,,,DHBA:AA30250,,1055,128,0,0,1,1,1
619,BSTc,caudal division of BST,,,DHBA:AA30251,,1056,245,130,48,1,1,1
620,BSTcm,medial subdivision of BSTc,,,DHBA:AA30252,,1057,70,240,240,1,1,1
621,BSTpr,principal part of BSTcm,,,DHBA:AA30253,,1058,0,130,200,1,1,1
622,BSTprd,dorsal part of BSTpr,,,DHBA:AA30254,,1059,128,128,0,1,1,1
623,BSTprv,ventral part of BSTpr,,,DHBA:AA30255,,1060,245,130,48,1,1,1
624,BSTif,interfascicular part of BSTcm,,,DHBA:AA30256,,1061,255,250,200,1,1,1
625,BSTcl,lateral subdivision of BSTc,,,DHBA:AA30257,,1062,60,180,75,1,1,1
626,BSTsc,spindle-shaped small cell division of BST,,,DHBA:AA30258,,1063,128,128,128,1,1,1
627,BSTst,remaining division of BST (along stria terminaris),,,DHBA:AA30259,,1064,0,130,200,1,1,1
628,SLEA,sublenticular extended amygdala,sublenticular extended amygdala,SLEA,DHBA:10387,#9AD0A0,116,12,207,89,1,1,1
629,SLEAm,medial division of SLEA,medial division of sublenticular extended amygdala,SLEAm,DHBA:11569,#8FCC94,1065,170,110,40,1,1,1
630,SLEAl,lateral division of SLEA,central division of sublenticular extended amygdala,SLEAc,DHBA:11570,#8FCC94,1066,255,215,180,1,1,1
631,EXADe,developing transient structures of extended amygdala,,,DHBA:AA30260,,1067,170,110,40,1,1,1
632,EXAvz,ventricular zone of extended amygdala,,,DHBA:AA30261,,1068,220,190,255,1,1,1
633,CLEn,claustrum-endopiriform nuclear complex,,,DHBA:AA30262,,1069,170,255,195,1,1,1
634,CLEnSe,segmentation of claustrum-endopiriform nuclear complex,,,DHBA:AA30263,,1070,245,130,48,1,1,1
635,Cla,claustrum,claustrum,Cla,DHBA:10346,#AADBCE,135,44,101,185,1,1,1
636,CLd,dorsal claustrum,Dorsal claustrum,CLd,DHBA:10347,#84CDBC,136,228,2,208,1,1,1
637,CLv,ventral claustrum,ventral claustrum,CLv,DHBA:10348,#75C8B3,137,137,216,173,1,1,1
638,CLt,temporal claustrum,temporal claustrum,CLt,DHBA:146034762,#66C4AF,138,207,216,155,1,1,1
639,CLmc,magnocellular division of claustrum,,,DHBA:AA30780,,2329,128,128,0,1,1,1
640,En,endopiriform nucleus,endopiriform nucleus,En,DHBA:10371,#9CCC66,1071,240,50,230,1,1,1
641,EnD,dorsal endopiriform nucleus,,,DHBA:AA30264,,1072,70,240,240,1,1,1
642,EnV,ventral endopiriform nucleus,endopiriform nucleus,En,DHBA:10371,#9CCC66,1073,220,190,255,1,1,1
643,DiE,diencephalon,diencephalon,Die,DHBA:10389,#E4CCE3,148,255,250,200,1,1,1
644,THM,thalamus,thalamus,THM,DHBA:10390,#E4CCE3,149,159,19,8,1,1,1
645,THMSe,segmentation of thalamus,,,DHBA:AA30265,,1074,0,0,128,1,1,1
646,DTH,dorsal thalamus,dorsal thalamus,DTH,DHBA:10391,#CC9FC9,150,75,188,207,1,1,1
647,ANC,anterior nuclear complex of thalamus,anterior nuclear complex of thalamus,ANC,DHBA:10392,#BF89BC,151,25,46,148,1,1,1
648,AD,anterodorsal nucleus of thalamus,anterodorsal nucleus of thalamus,AD,DHBA:10393,#B67BB4,152,164,159,18,1,1,1
649,ADm,medial (parvicellular) part of AD,,,DHBA:AA30266,,1075,170,110,40,1,1,1
650,ADl,lateral (magocellular) part of AD,,,DHBA:AA30267,,1076,0,128,128,1,1,1
651,IAD,interanterodorsal nucleus of thalamus,,,DHBA:AA30268,,1077,210,245,60,1,1,1
652,AV,anteroventral nucleus of thalamus,anteroventral nucleus of thalamus,AV,DHBA:10395,#B067A9,154,32,213,136,1,1,1
653,AVdm,dorsomedial part of AV,,,DHBA:AA30269,,1078,70,240,240,1,1,1
654,AVvl,ventrolateral part of AV,,,DHBA:AA30270,,1079,170,255,195,1,1,1
655,AM,anteromedial nucleus of thalamus,anteromedial nucleus of thalamus,AM,DHBA:10394,#B67BB4,153,231,127,150,1,1,1
656,AMd,dorsal part of AM,,,DHBA:AA30271,,1080,0,128,128,1,1,1
657,AMv,ventral part of AM,,,DHBA:AA30272,,1081,70,240,240,1,1,1
658,MNC,medial nuclear complex of thalamus,medial nuclear complex of thalamus,MNC,DHBA:10397,#B67BB4,156,189,74,138,1,1,1
659,MNC,mammillary nuclear complex,medial nuclear complex of thalamus,MNC,DHBA:10397,#B67BB4,156,189,74,138,1,1,1
660,MD,mediodorsal nucleus of thalamus,mediodorsal nucleus of thalamus,MD,DHBA:10398,#B067A9,157,213,138,107,1,1,1
661,MDdc,densocelllular (paralamellar) division of MD,densocelllular (paralamellar) division of MD,MDd,DHBA:10399,#B067A9,1082,128,0,0,1,1,1
662,MDm,medial (magnocellular) division of MD,magnocellular (medial) division of MD,MDm,DHBA:10400,#A554A0,1083,170,255,195,1,1,1
663,MDam,anteromedial large-celled island of MD ,anteromedial large-celled island of MD ,MDam,DHBA:266441507,#A554A0,1084,255,225,25,1,1,1
664,MDl,lateral (multiform) division of MD,multiform (lateral) division of MD,MDl,DHBA:10401,#B067A9,1085,255,215,180,1,1,1
665,MDc,central (parvicellular) division of MD,parvocellular (central) division of MD,MDc,DHBA:10402,#B067A9,1086,60,180,75,1,1,1
666,MDv,ventral division of MD,,,DHBA:AA30273,,1087,0,130,200,1,1,1
667,MiN,midline nuclear complex of thalamus,midline nuclear complex,MiN,DHBA:13045,#A554A0,186,254,246,169,1,1,1
668,MiD,dorsal midline nuclei of thalamus,,,DHBA:AA30274,,1088,220,190,255,1,1,1
669,PaT,paraventricular nucleus of thalamus,paraventricular nucleus,PaV,DHBA:10457,#B067A9,191,250,190,212,1,1,1
670,PaTr,rostral paraventricular nucleus of thalamus,rostral subdivision of paraventricular nucleus,PaVr,DHBA:10458,#B067A9,1089,70,240,240,1,1,1
671,PaTi,intermediate paraventricular nucleus of thalamus,,,DHBA:AA30275,,1090,0,0,128,1,1,1
672,PaTc,caudal paraventricular nucleus of thalamus,caudal subdivision of paraventricular nucleus,PaVc,DHBA:10459,#B067A9,1091,255,225,25,1,1,1
673,PT,parataenial nucleus of thalamus,parataenial nucleus of thalamus,Pt,DHBA:10404,#B67BB4,159,128,128,128,1,1,1
674,IMD,intermediodorsal  nucleus of thalamus,intermediodorsal  nucleus of thalamus,IMD,DHBA:13049,#B067A9,1092,255,225,25,1,1,1
675,MiV,ventral midline nuclei of thalamus,,,DHBA:AA30276,,1093,230,25,75,1,1,1
676,Re,reuniens (medioventral) nucleus of thalamus,reuniens nucleus (medioventral nucleus) of thalamus,Re,DHBA:10403,#95498A,158,60,24,145,1,1,1
677,Xi,xiphoid thalamic nucleus,,,DHBA:AA30277,,1094,128,0,0,1,1,1
678,SmT,submedius thalamic nucleus,,,DHBA:AA30278,,1095,255,215,180,1,1,1
679,Fa,fasciculosus nucleus of thalamus,fasciculosus nucleus of thalamus,Fa,DHBA:13047,#B67BB4,1096,210,245,60,1,1,1
680,IAM,interanteromedial nucleus of thalamus,interanteromedial nucleus of thalamus,IAM,DHBA:13048,#B067A9,1097,128,0,0,1,1,1
681,Rh,rhomboid (central) nucleus of thalamus,rhomboid (central) nucleus of thalamus,Rh,DHBA:10447,#B67BB4,1098,128,128,0,1,1,1
682,PeVA,periventricular area of posterior thalamus,periventricular area of thalamus,PeVA,DHBA:13046,#B067A9,1099,128,128,128,1,1,1
683,SPf,subparafascicular nucleus of thalamus,subparafascicular nucleus of thalamus,SPf,DHBA:13054,#BF89BC,185,32,229,168,1,1,1
684,RPf,retroparafascicular area of thalamus,retroparafascicular area of thalamus,RPf,DHBA:15534,#B067A9,1100,0,128,128,1,1,1
685,RRe,retrouniens area,,,DHBA:AA30279,,1101,250,190,212,1,1,1
686,LNC,lateral nuclear complex of thalamus,lateral nuclear complex of thalamus,LNC,DHBA:10406,#B67BB4,160,80,189,122,1,1,1
687,DLN,dorsal group of LNC,dorsal group of lateral nucleus,DLN,DHBA:10407,#B67BB4,161,177,189,142,1,1,1
688,LD,lateral dorsal nucleus of thalamus,lateral dorsal nucleus of thalamus,LD,DHBA:10396,#B67BB4,155,7,221,85,1,1,1
689,LDd,dorsal division of LD,,,DHBA:AA30280,,1102,240,50,230,1,1,1
690,LDv,ventral division of LD,,,DHBA:AA30281,,1103,255,215,180,1,1,1
691,LPul,lateroposterior-pulvinar complex,,,DHBA:AA30282,,1104,250,190,212,1,1,1
692,LP,lateral posterior nucleus of thalamus,lateral posterior nucleus of thalamus,LP,DHBA:10408,#B067A9,162,139,8,203,1,1,1
693,LPd,dorsal division of LP,,,DHBA:AA30283,,1105,145,30,180,1,1,1
694,LPv,ventral division of LP,,,DHBA:AA30284,,1106,240,50,230,1,1,1
695,Pul,pulvinar of thalamus,pulvinar of thalamus,Pul,DHBA:10409,#B067A9,163,8,115,179,1,1,1
696,Pulr,rostral division of pulvinar,anterior nucleus of pulvinar,Pulr,DHBA:10410,#B067A9,1107,128,128,0,1,1,1
697,Pulm,medial division of pulvinar,medial nucleus of pulvinar,Pulm,DHBA:10411,#B067A9,1108,128,0,0,1,1,1
698,Pull,lateral division of pulvinar,lateral nucleus of pulvinar,Pull,DHBA:10412,#B067A9,1109,245,130,48,1,1,1
699,Pulldm,dorsomedial part of Pull,,,DHBA:AA30285,,1110,170,110,40,1,1,1
700,Pullvl,ventrolateral part of Pull,,,DHBA:AA30286,,1111,145,30,180,1,1,1
701,Puli,inferior division of pulvinar,inferior nucleus of pulvinar,Puli,DHBA:10413,#B067A9,1112,255,250,200,1,1,1
702,Pulil,lateral subdivision of Puli,lateral subdivision of Puli,Pulil,DHBA:10414,#B067A9,1113,255,215,180,1,1,1
703,Pulic,central subdivision of Puli,,,DHBA:AA30287,,1114,255,215,180,1,1,1
704,Pulim,medial subdivision of Puli,medial subdivision of Puli,Pulim,DHBA:10415,#B067A9,1115,128,128,128,1,1,1
705,Pulip,posterior subdivision of Puli,,,DHBA:AA30288,,1116,170,110,40,1,1,1
706,VLN,ventral group of LNC,ventral group of lateral nucleus,VLN,DHBA:10416,#A554A0,164,100,90,79,1,1,1
707,VAL,ventroanterior-ventrolateral nuclei of thalamus,,,DHBA:AA30289,,1117,255,215,180,1,1,1
708,VA,ventral anterior nucleus of thalamus,ventral anterior nucleus of thalamus,VA,DHBA:10417,#A554A0,165,218,147,208,1,1,1
