graph_order,uDHBA_id,uDHBA_acronym,uDHBA_name,DHBA_name,DHBA_acronym,DHBA_id,uDHBA_label_value,r,g,b,hierarchy and full names,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
595,DHBA:11514,LaVl,lateral subdivision of LaV,ventral lateral subdivision of lateral nucleus,LaVl,11514,1016,255,215,180,,,,,,,,,,,,lateral subdivision of LaV,,,,,,
596,DHBA:11515,LaVm,medial subdivision of LaV,ventral medial subdivision of lateral nucleus,LaVm,11515,1017,70,240,240,,,,,,,,,,,,medial subdivision of LaV,,,,,,
597,DHBA:146034734,LaGlo,glomerular cell islands in LaV,glomerular subdivision of lateral nucleus,LaVglo,146034734,1018,128,0,0,,,,,,,,,,,,glomerular cell islands in LaV,,,,,,
598,DHBA:10368,BL,basolateral nucleus (basal nucleus) of amygdala,basolateral nucleus (basal nucleus),BL,10368,108,14,18,133,,,,,,,,,,basolateral nucleus (basal nucleus) of amygdala,,,,,,,,
599,DHBA:AA30231,BLr,rostral (uncharted) division of BL,,,,1019,0,0,128,,,,,,,,,,,rostral (uncharted) division of BL,,,,,,,
600,DHBA:11516,BLmc,magnocellular (dorsal) division of BL,dorsal (magnocellular) division of basolateral nucleus,BLD,11516,1020,0,128,128,,,,,,,,,,,magnocellular (dorsal) division of BL,,,,,,,
601,DHBA:11517,BLmcd,dorsolateral subdivision of BLmc,dorsal lateral subdivision of basolateral nucleus,BLDl,11517,1021,220,190,255,,,,,,,,,,,,dorsolateral subdivision of BLmc,,,,,,
602,DHBA:AA30232,BLmcl,lateral subdivision of BLmc,,,,1022,145,30,180,,,,,,,,,,,,lateral subdivision of BLmc,,,,,,
603,DHBA:AA30233,BLmcm,medial subdivision of BLmc,,,,1023,245,130,48,,,,,,,,,,,,medial subdivision of BLmc,,,,,,
604,DHBA:11518,BLi,intermediate division of BL,intermediate division of basolateral nucleus,BLI,11518,1024,220,190,255,,,,,,,,,,,intermediate division of BL,,,,,,,
605,DHBA:11519,BLpc,parvicellular (ventral) division of BL,ventral (parvicellular) division of basolateral nucleus,BLV,11519,1025,128,0,0,,,,,,,,,,,parvicellular (ventral) division of BL,,,,,,,
606,DHBA:11520,BLpcl,lateral subdivision of BLpc,ventral lateral subdivision of basolateral nucleus,BLVl,11520,1026,255,250,200,,,,,,,,,,,,lateral subdivision of BLpc,,,,,,
607,DHBA:11521,BLpcm,medial subdivision of BLpc (basoventral nucleus),ventral medial subdivision of basolateral nucleus,BLVm,11521,1027,255,225,25,,,,,,,,,,,,medial subdivision of BLpc (basoventral nucleus),,,,,,
608,DHBA:10370,PL,paralaminar nucleus of amygdala,paralaminar nucleus,PL,10370,1028,255,215,180,,,,,,,,,,,paralaminar nucleus of amygdala,,,,,,,
609,DHBA:146034738,PLglo,glomerular cell islands in PL,glomerular part of paralaminar nucleus,PLglo,146034738,1029,255,225,25,,,,,,,,,,,,glomerular cell islands in PL,,,,,,
610,DHBA:10369,BM,basomedial nucleus (accessory basal nucleus) of amygdala,basomedial nucleus (accessory basal nucleus),BM,10369,109,123,167,28,,,,,,,,,,basomedial nucleus (accessory basal nucleus) of amygdala,,,,,,,,
611,DHBA:AA30234,BMr,rostral division of BM,,,,1030,128,128,0,,,,,,,,,,,rostral division of BM,,,,,,,
612,DHBA:11522,BMmc,magnocellular (dorsal) division of BM,dorsal division of basomedial nucleus,BMD,11522,1031,128,0,0,,,,,,,,,,,magnocellular (dorsal) division of BM,,,,,,,
613,DHBA:11523,BMmcl,lateral subdivision of BMmc,dorsolateral subdivision of basomedial nucleus,BMDl,11523,1032,128,0,0,,,,,,,,,,,,lateral subdivision of BMmc,,,,,,
614,DHBA:11524,BMmcm,medial subdivsion of BMmc,dorsomedial (magnocellular) subdivsion of basomedial nucleus,BMDm,11524,1033,128,128,128,,,,,,,,,,,,medial subdivsion of BMmc,,,,,,
615,DHBA:11525,BMpc,parvicellular (ventral) division of BM,ventral division of basomedial nucleus,BMV,11525,1034,70,240,240,,,,,,,,,,,parvicellular (ventral) division of BM,,,,,,,
616,DHBA:11526,BMpcl,lateral subdivsion of BMpc,ventrolateral (parvocellular) subdivsion of basomedial nucleus,BMVl,11526,1035,255,225,25,,,,,,,,,,,,lateral subdivsion of BMpc,,,,,,
617,DHBA:11527,BMpcm,medial  subdivsion of BMpc,ventromedial  subdivsion of basomedial nucleus,BMVm,11527,1036,210,245,60,,,,,,,,,,,,medial  subdivsion of BMpc,,,,,,
618,DHBA:266441447,BMm,medial division of BM,medial division of basomedial nucleus,BMm,266441447,1037,145,30,180,,,,,,,,,,,medial division of BM,,,,,,,
619,DHBA:AA30235,BMdc,densocelllular division of BM,,,,1038,128,0,0,,,,,,,,,,,densocelllular division of BM,,,,,,,
620,DHBA:10378,InA,intercalated nuclei of amygdala,Intercalated nucleus of amygdala,INA,10378,1039,70,240,240,,,,,,,,,intercalated nuclei of amygdala,,,,,,,,,
621,DHBA:AA30236,InAmj,major intercalated nucleus of amygdala,,,,1040,128,0,0,,,,,,,,,,major intercalated nucleus of amygdala,,,,,,,,
622,DHBA:AA30237,InAs,small intercalated nuclei of amygdala,,,,1041,255,215,180,,,,,,,,,,small intercalated nuclei of amygdala,,,,,,,,
623,DHBA:10379,ATA,amygdaloid transition areas,amygdaloid transition areas,ATA,10379,110,205,203,198,,,,,,,,,amygdaloid transition areas,,,,,,,,,
624,DHBA:10380,AHTA,amygdalohippocampal transition area,amygdalohippocampal transition area,AHTA,10380,111,89,52,183,,,,,,,,,,amygdalohippocampal transition area,,,,,,,,
625,DHBA:AA30238,AHTAmc,magnocellular division of AHTA,,,,1042,128,128,128,,,,,,,,,,,magnocellular division of AHTA,,,,,,,
626,DHBA:AA30239,AHTApc,parvicellular division of AHTA,,,,1043,210,245,60,,,,,,,,,,,parvicellular division of AHTA,,,,,,,
627,DHBA:10382,ACTA,amygdalocortical transition area (amygdalopiriform transition area),amygdalocortical (corticoamygdaloid) transition area,ACTA,10382,113,199,105,19,,,,,,,,,,amygdalocortical transition area (amygdalopiriform transition area),,,,,,,,
628,DHBA:AA30240,AMYx,uncharted (diffuse) part of amygdaloid complex,,,,1044,70,240,240,,,,,,,,,uncharted (diffuse) part of amygdaloid complex,,,,,,,,,
629,DHBA:AA30241,AMYDe, developing transient structures of amygdalar region,,,,1045,70,240,240,,,,,,,, developing transient structures of amygdalar region,,,,,,,,,,
630,DHBA:10553,paVZ,ventricular zone of postamygdaloid region,VZ in postamygdaloid region,paVZ,10553,1046,250,190,212,,,,,,,,,ventricular zone of postamygdaloid region,,,,,,,,,
631,DHBA:AA30242,CAS,caudal amygdaloid migratory stream,,,,1047,230,25,75,,,,,,,,,caudal amygdaloid migratory stream,,,,,,,,,
632,DHBA:10383,EXA,extended amygdala,extended amygdala,EXA,10383,114,73,66,52,,,,,,,extended amygdala,,,,,,,,,,,
633,DHBA:AA30243,EXAR,regions of extended amygdala,,,,1048,0,0,128,,,,,,,,regions of extended amygdala,,,,,,,,,,
634,DHBA:10384,BST,bed nucleus of stria terminalis,bed nucleus of stria terminalis,BNST,10384,115,240,50,230,,,,,,,,,bed nucleus of stria terminalis,,,,,,,,,
635,DHBA:AA30244,BSTr,rostral division of BST,,,,1049,0,128,128,,,,,,,,,,rostral division of BST,,,,,,,,
636,DHBA:AA30245,BSTrm,medial subdivision of BSTr,,,,1050,210,245,60,,,,,,,,,,,medial subdivision of BSTr,,,,,,,
637,DHBA:AA30246,BSTrl,lateral subdivision of BNSr,,,,1051,128,128,128,,,,,,,,,,,lateral subdivision of BNSr,,,,,,,
638,DHBA:AA30247,BSTrlj,juxtacapsular part of BSTrl,,,,1052,255,250,200,,,,,,,,,,,,juxtacapsular part of BSTrl,,,,,,
639,DHBA:AA30248,BSTrlv,ventral part of BSTrl,,,,1053,145,30,180,,,,,,,,,,,,ventral part of BSTrl,,,,,,
640,DHBA:AA30249,BSTfu,fusiform nucleus of BSTrl,,,,1054,0,130,200,,,,,,,,,,,,fusiform nucleus of BSTrl,,,,,,
641,DHBA:AA30250,BSTov,oval subdivision of BSTr,,,,1055,128,0,0,,,,,,,,,,,oval subdivision of BSTr,,,,,,,
642,DHBA:AA30251,BSTc,caudal division of BST,,,,1056,245,130,48,,,,,,,,,,caudal division of BST,,,,,,,,
643,DHBA:AA30252,BSTcm,medial subdivision of BSTc,,,,1057,70,240,240,,,,,,,,,,,medial subdivision of BSTc,,,,,,,
644,DHBA:AA30253,BSTpr,principal part of BSTcm,,,,1058,0,130,200,,,,,,,,,,,,principal part of BSTcm,,,,,,
645,DHBA:AA30254,BSTprd,dorsal part of BSTpr,,,,1059,128,128,0,,,,,,,,,,,,,dorsal part of BSTpr,,,,,
646,DHBA:AA30255,BSTprv,ventral part of BSTpr,,,,1060,245,130,48,,,,,,,,,,,,,ventral part of BSTpr,,,,,
647,DHBA:AA30256,BSTif,interfascicular part of BSTcm,,,,1061,255,250,200,,,,,,,,,,,,interfascicular part of BSTcm,,,,,,
648,DHBA:AA30257,BSTcl,lateral subdivision of BSTc,,,,1062,60,180,75,,,,,,,,,,,lateral subdivision of BSTc,,,,,,,
649,DHBA:AA30258,BSTsc,spindle-shaped small cell division of BST,,,,1063,128,128,128,,,,,,,,,,spindle-shaped small cell division of BST,,,,,,,,
650,DHBA:AA30259,BSTst,remaining division of BST (along stria terminaris),,,,1064,0,130,200,,,,,,,,,,remaining division of BST (along stria terminaris),,,,,,,,
651,DHBA:10387,SLEA,sublenticular extended amygdala,sublenticular extended amygdala,SLEA,10387,116,12,207,89,,,,,,,,,sublenticular extended amygdala,,,,,,,,,
652,DHBA:11569,SLEAm,medial division of SLEA,medial division of sublenticular extended amygdala,SLEAm,11569,1065,170,110,40,,,,,,,,,,medial division of SLEA,,,,,,,,
653,DHBA:11570,SLEAl,lateral division of SLEA,central division of sublenticular extended amygdala,SLEAc,11570,1066,255,215,180,,,,,,,,,,lateral division of SLEA,,,,,,,,
654,DHBA:AA30260,EXADe,developing transient structures of extended amygdala,,,,1067,170,110,40,,,,,,,,developing transient structures of extended amygdala,,,,,,,,,,
655,DHBA:AA30261,EXAvz,ventricular zone of extended amygdala,,,,1068,220,190,255,,,,,,,,,ventricular zone of extended amygdala,,,,,,,,,
656,DHBA:AA30262,CLEn,claustrum-endopiriform nuclear complex,,,,1069,170,255,195,,,,,,,claustrum-endopiriform nuclear complex,,,,,,,,,,,
657,DHBA:AA30263,CLEnR,regions of claustrum-endopiriform nuclear complex,,,,1070,245,130,48,,,,,,,,regions of claustrum-endopiriform nuclear complex,,,,,,,,,,
658,DHBA:10346,Cla,claustrum,claustrum,Cla,10346,135,44,101,185,,,,,,,,,claustrum,,,,,,,,,
659,DHBA:10347,CLd,dorsal claustrum,Dorsal claustrum,CLd,10347,136,228,2,208,,,,,,,,,,dorsal claustrum,,,,,,,,
660,DHBA:10348,CLv,ventral claustrum,ventral claustrum,CLv,10348,137,137,216,173,,,,,,,,,,ventral claustrum,,,,,,,,
661,DHBA:146034762,CLt,temporal claustrum,temporal claustrum,CLt,146034762,138,207,216,155,,,,,,,,,,temporal claustrum,,,,,,,,
662,DHBA:AA30780,CLmc,magnocellular division of claustrum,,,,2329,128,128,0,,,,,,,,,,magnocellular division of claustrum,,,,,,,,
663,DHBA:10371,En,endopiriform nucleus,endopiriform nucleus,En,10371,1071,240,50,230,,,,,,,,,endopiriform nucleus,,,,,,,,,
664,DHBA:AA30264,EnD,dorsal endopiriform nucleus,,,,1072,70,240,240,,,,,,,,,,dorsal endopiriform nucleus,,,,,,,,
665,DHBA:10371,EnV,ventral endopiriform nucleus,endopiriform nucleus,En,10371,1073,220,190,255,,,,,,,,,,ventral endopiriform nucleus,,,,,,,,
666,DHBA:10389,DiE,diencephalon,diencephalon,Die,10389,148,255,250,200,,,,,diencephalon,,,,,,,,,,,,,
667,DHBA:10390,THM,thalamus,thalamus,THM,10390,149,159,19,8,,,,,,thalamus,,,,,,,,,,,,
668,DHBA:AA30265,THMR,regions of thalamus,,,,1074,0,0,128,,,,,,,regions of thalamus,,,,,,,,,,,
669,DHBA:10391,DTH,dorsal thalamus,dorsal thalamus,DTH,10391,150,75,188,207,,,,,,,,dorsal thalamus,,,,,,,,,,
670,DHBA:10392,ANC,anterior nuclear complex of thalamus,anterior nuclear complex of thalamus,ANC,10392,151,25,46,148,,,,,,,,,anterior nuclear complex of thalamus,,,,,,,,,
671,DHBA:10393,AD,anterodorsal nucleus of thalamus,anterodorsal nucleus of thalamus,AD,10393,152,164,159,18,,,,,,,,,,anterodorsal nucleus of thalamus,,,,,,,,
672,DHBA:AA30266,ADm,medial (parvicellular) part of AD,,,,1075,170,110,40,,,,,,,,,,,medial (parvicellular) part of AD,,,,,,,
673,DHBA:AA30267,ADl,lateral (magocellular) part of AD,,,,1076,0,128,128,,,,,,,,,,,lateral (magocellular) part of AD,,,,,,,
674,DHBA:AA30268,IAD,interanterodorsal nucleus of thalamus,,,,1077,210,245,60,,,,,,,,,,interanterodorsal nucleus of thalamus,,,,,,,,
675,DHBA:10395,AV,anteroventral nucleus of thalamus,anteroventral nucleus of thalamus,AV,10395,154,32,213,136,,,,,,,,,,anteroventral nucleus of thalamus,,,,,,,,
676,DHBA:AA30269,AVdm,dorsomedial part of AV,,,,1078,70,240,240,,,,,,,,,,,dorsomedial part of AV,,,,,,,
677,DHBA:AA30270,AVvl,ventrolateral part of AV,,,,1079,170,255,195,,,,,,,,,,,ventrolateral part of AV,,,,,,,
678,DHBA:10394,AM,anteromedial nucleus of thalamus,anteromedial nucleus of thalamus,AM,10394,153,231,127,150,,,,,,,,,,anteromedial nucleus of thalamus,,,,,,,,
679,DHBA:AA30271,AMd,dorsal part of AM,,,,1080,0,128,128,,,,,,,,,,,dorsal part of AM,,,,,,,
680,DHBA:AA30272,AMv,ventral part of AM,,,,1081,70,240,240,,,,,,,,,,,ventral part of AM,,,,,,,
681,DHBA:10397,MNC,medial nuclear complex of thalamus,medial nuclear complex of thalamus,MNC,10397,156,189,74,138,,,,,,,,,medial nuclear complex of thalamus,,,,,,,,,
682,DHBA:10398,MD,mediodorsal nucleus of thalamus,mediodorsal nucleus of thalamus,MD,10398,157,213,138,107,,,,,,,,,,mediodorsal nucleus of thalamus,,,,,,,,
683,DHBA:10399,MDdc,densocelllular (paralamellar) division of MD,densocelllular (paralamellar) division of MD,MDd,10399,1082,128,0,0,,,,,,,,,,,densocelllular (paralamellar) division of MD,,,,,,,
684,DHBA:10400,MDm,medial (magnocellular) division of MD,magnocellular (medial) division of MD,MDm,10400,1083,170,255,195,,,,,,,,,,,medial (magnocellular) division of MD,,,,,,,
685,DHBA:266441507,MDam,anteromedial large-celled island of MD ,anteromedial large-celled island of MD ,MDam,266441507,1084,255,225,25,,,,,,,,,,,anteromedial large-celled island of MD ,,,,,,,
686,DHBA:10401,MDl,lateral (multiform) division of MD,multiform (lateral) division of MD,MDl,10401,1085,255,215,180,,,,,,,,,,,lateral (multiform) division of MD,,,,,,,
687,DHBA:10402,MDc,central (parvicellular) division of MD,parvocellular (central) division of MD,MDc,10402,1086,60,180,75,,,,,,,,,,,central (parvicellular) division of MD,,,,,,,
688,DHBA:AA30273,MDv,ventral division of MD,,,,1087,0,130,200,,,,,,,,,,,ventral division of MD,,,,,,,
689,DHBA:13045,MiN,midline nuclear complex of thalamus,midline nuclear complex,MiN,13045,186,254,246,169,,,,,,,,,midline nuclear complex of thalamus,,,,,,,,,
690,DHBA:AA30274,MiD,dorsal midline nuclei of thalamus,,,,1088,220,190,255,,,,,,,,,,dorsal midline nuclei of thalamus,,,,,,,,
691,DHBA:10457,PaT,paraventricular nucleus of thalamus,paraventricular nucleus,PaV,10457,191,250,190,212,,,,,,,,,,,paraventricular nucleus of thalamus,,,,,,,
692,DHBA:10458,PaTr,rostral paraventricular nucleus of thalamus,rostral subdivision of paraventricular nucleus,PaVr,10458,1089,70,240,240,,,,,,,,,,,,rostral paraventricular nucleus of thalamus,,,,,,
693,DHBA:AA30275,PaTi,intermediate paraventricular nucleus of thalamus,,,,1090,0,0,128,,,,,,,,,,,,intermediate paraventricular nucleus of thalamus,,,,,,
694,DHBA:10459,PaTc,caudal paraventricular nucleus of thalamus,caudal subdivision of paraventricular nucleus,PaVc,10459,1091,255,225,25,,,,,,,,,,,,caudal paraventricular nucleus of thalamus,,,,,,
695,DHBA:10404,PT,parataenial nucleus of thalamus,parataenial nucleus of thalamus,Pt,10404,159,128,128,128,,,,,,,,,,,parataenial nucleus of thalamus,,,,,,,
696,DHBA:13049,IMD,intermediodorsal  nucleus of thalamus,intermediodorsal  nucleus of thalamus,IMD,13049,1092,255,225,25,,,,,,,,,,,intermediodorsal  nucleus of thalamus,,,,,,,
697,DHBA:AA30276,MiV,ventral midline nuclei of thalamus,,,,1093,230,25,75,,,,,,,,,,ventral midline nuclei of thalamus,,,,,,,,
698,DHBA:10403,Re,reuniens (medioventral) nucleus of thalamus,reuniens nucleus (medioventral nucleus) of thalamus,Re,10403,158,60,24,145,,,,,,,,,,,reuniens (medioventral) nucleus of thalamus,,,,,,,
699,DHBA:AA30277,Xi,xiphoid thalamic nucleus,,,,1094,128,0,0,,,,,,,,,,,xiphoid thalamic nucleus,,,,,,,
700,DHBA:AA30278,SmT,submedius thalamic nucleus,,,,1095,255,215,180,,,,,,,,,,,submedius thalamic nucleus,,,,,,,
701,DHBA:13047,Fa,fasciculosus nucleus of thalamus,fasciculosus nucleus of thalamus,Fa,13047,1096,210,245,60,,,,,,,,,,,fasciculosus nucleus of thalamus,,,,,,,
702,DHBA:13048,IAM,interanteromedial nucleus of thalamus,interanteromedial nucleus of thalamus,IAM,13048,1097,128,0,0,,,,,,,,,,,interanteromedial nucleus of thalamus,,,,,,,
703,DHBA:10447,Rh,rhomboid (central) nucleus of thalamus,rhomboid (central) nucleus of thalamus,Rh,10447,1098,128,128,0,,,,,,,,,,,rhomboid (central) nucleus of thalamus,,,,,,,
704,DHBA:13046,PeVA,periventricular area of posterior thalamus,periventricular area of thalamus,PeVA,13046,1099,128,128,128,,,,,,,,,,,periventricular area of posterior thalamus,,,,,,,
705,DHBA:13054,SPf,subparafascicular nucleus of thalamus,subparafascicular nucleus of thalamus,SPf,13054,185,32,229,168,,,,,,,,,,,subparafascicular nucleus of thalamus,,,,,,,
706,DHBA:15534,RPf,retroparafascicular area of thalamus,retroparafascicular area of thalamus,RPf,15534,1100,0,128,128,,,,,,,,,,,retroparafascicular area of thalamus,,,,,,,
707,DHBA:AA30279,RRe,retrouniens area,,,,1101,250,190,212,,,,,,,,,,,retrouniens area,,,,,,,
708,DHBA:10406,LNC,lateral nuclear complex of thalamus,lateral nuclear complex of thalamus,LNC,10406,160,80,189,122,,,,,,,,,lateral nuclear complex of thalamus,,,,,,,,,
709,DHBA:10407,DLN,dorsal group of LNC,dorsal group of lateral nucleus,DLN,10407,161,177,189,142,,,,,,,,,,dorsal group of LNC,,,,,,,,
710,DHBA:10396,LD,lateral dorsal nucleus of thalamus,lateral dorsal nucleus of thalamus,LD,10396,155,7,221,85,,,,,,,,,,,lateral dorsal nucleus of thalamus,,,,,,,
711,DHBA:AA30280,LDd,dorsal division of LD,,,,1102,240,50,230,,,,,,,,,,,,dorsal division of LD,,,,,,
712,DHBA:AA30281,LDv,ventral division of LD,,,,1103,255,215,180,,,,,,,,,,,,ventral division of LD,,,,,,
713,DHBA:AA30282,LPul,lateroposterior-pulvinar complex,,,,1104,250,190,212,,,,,,,,,,,lateroposterior-pulvinar complex,,,,,,,
714,DHBA:10408,LP,lateral posterior nucleus of thalamus,lateral posterior nucleus of thalamus,LP,10408,162,139,8,203,,,,,,,,,,,,lateral posterior nucleus of thalamus,,,,,,
715,DHBA:AA30283,LPd,dorsal division of LP,,,,1105,145,30,180,,,,,,,,,,,,,dorsal division of LP,,,,,
716,DHBA:AA30284,LPv,ventral division of LP,,,,1106,240,50,230,,,,,,,,,,,,,ventral division of LP,,,,,
717,DHBA:10409,Pul,pulvinar of thalamus,pulvinar of thalamus,Pul,10409,163,8,115,179,,,,,,,,,,,,pulvinar of thalamus,,,,,,
718,DHBA:10410,Pulr,rostral division of pulvinar,anterior nucleus of pulvinar,Pulr,10410,1107,128,128,0,,,,,,,,,,,,,rostral division of pulvinar,,,,,
719,DHBA:10411,Pulm,medial division of pulvinar,medial nucleus of pulvinar,Pulm,10411,1108,128,0,0,,,,,,,,,,,,,medial division of pulvinar,,,,,
720,DHBA:10412,Pull,lateral division of pulvinar,lateral nucleus of pulvinar,Pull,10412,1109,245,130,48,,,,,,,,,,,,,lateral division of pulvinar,,,,,
721,DHBA:AA30285,Pulldm,dorsomedial part of Pull,,,,1110,170,110,40,,,,,,,,,,,,,,dorsomedial part of Pull,,,,
722,DHBA:AA30286,Pullvl,ventrolateral part of Pull,,,,1111,145,30,180,,,,,,,,,,,,,,ventrolateral part of Pull,,,,
723,DHBA:10413,Puli,inferior division of pulvinar,inferior nucleus of pulvinar,Puli,10413,1112,255,250,200,,,,,,,,,,,,,inferior division of pulvinar,,,,,
724,DHBA:10414,Pulil,lateral subdivision of Puli,lateral subdivision of Puli,Pulil,10414,1113,255,215,180,,,,,,,,,,,,,,lateral subdivision of Puli,,,,
725,DHBA:AA30287,Pulic,central subdivision of Puli,,,,1114,255,215,180,,,,,,,,,,,,,,central subdivision of Puli,,,,
726,DHBA:10415,Pulim,medial subdivision of Puli,medial subdivision of Puli,Pulim,10415,1115,128,128,128,,,,,,,,,,,,,,medial subdivision of Puli,,,,
727,DHBA:AA30288,Pulip,posterior subdivision of Puli,,,,1116,170,110,40,,,,,,,,,,,,,,posterior subdivision of Puli,,,,
728,DHBA:10416,VLN,ventral group of LNC,ventral group of lateral nucleus,VLN,10416,164,100,90,79,,,,,,,,,,ventral group of LNC,,,,,,,,
729,DHBA:AA30289,VAL,ventroanterior-ventrolateral nuclei of thalamus,,,,1117,255,215,180,,,,,,,,,,,ventroanterior-ventrolateral nuclei of thalamus,,,,,,,
730,DHBA:10417,VA,ventral anterior nucleus of thalamus,ventral anterior nucleus of thalamus,VA,10417,165,218,147,208,,,,,,,,,,,,ventral anterior nucleus of thalamus,,,,,,
731,DHBA:10418,VApr,principal division of VA,parvocellular division of VA,VApr,10418,1118,220,190,255,,,,,,,,,,,,,principal division of VA,,,,,
732,DHBA:AA30290,VAm,medial subdivision of VApr,,,,1119,230,25,75,,,,,,,,,,,,,,medial subdivision of VApr,,,,
733,DHBA:AA30291,VAl,lateral subdivision of VApr,,,,1120,210,245,60,,,,,,,,,,,,,,lateral subdivision of VApr,,,,
734,DHBA:AA30292,VAcd,caudodorsal extension of VA,,,,1121,250,190,212,,,,,,,,,,,,,,caudodorsal extension of VA,,,,
735,DHBA:10419,VAmc,magocellular division of VA,magnocellular division of VA,VAmc,10419,1122,60,180,75,,,,,,,,,,,,,magocellular division of VA,,,,,
736,DHBA:10420,VL,ventral lateral nucleus of thalamus,ventral lateral nucleus of thalamus,VL,10420,166,4,188,151,,,,,,,,,,,,ventral lateral nucleus of thalamus,,,,,,
737,DHBA:10421,VLr,rostral subdivision of VL,rostral division of VL,VLR,10421,1123,145,30,180,,,,,,,,,,,,,rostral subdivision of VL,,,,,
738,DHBA:13039,VLx,medial subdivision of VL (nucleus x of thalamus),medial subdivision of VLC (area x),VLCx,13039,1124,128,128,128,,,,,,,,,,,,,medial subdivision of VL (nucleus x of thalamus),,,,,
739,DHBA:10422,VLc,caudal subdivision of VL,caudal division of VL,VLC,10422,1125,128,128,128,,,,,,,,,,,,,caudal subdivision of VL,,,,,
740,DHBA:13037,VLcd,dorsal part of caudal subdivision of VL,dorsal subdivision of VLC,VLCd,13037,1126,220,190,255,,,,,,,,,,,,,,dorsal part of caudal subdivision of VL,,,,
741,DHBA:13038,VLcv,ventral part of caudal subdivision of VL,ventral subdivision of VLC,VLCv,13038,1127,255,215,180,,,,,,,,,,,,,,ventral part of caudal subdivision of VL,,,,
742,DHBA:AA30293,VLvm,ventromedial subdivision of VL,,,,1128,220,190,255,,,,,,,,,,,,,ventromedial subdivision of VL,,,,,
743,DHBA:10427,VM,ventral medial nucleus of thalamus,ventral medial nucleus of thalamus,VM,10427,172,53,152,218,,,,,,,,,,,,ventral medial nucleus of thalamus,,,,,,
744,DHBA:10423,VPT,ventral posterior nuclei of thalamus,ventral posterior nucleus of thalamus,VPT,10423,167,42,48,101,,,,,,,,,,,ventral posterior nuclei of thalamus,,,,,,,
745,DHBA:10424,VPL,ventral posterior lateral nucleus,ventral posterior lateral nucleus,VPL,10424,168,32,35,172,,,,,,,,,,,,ventral posterior lateral nucleus,,,,,,
746,DHBA:266441511,VPLr,rostral division of ventral posterior lateral nucleus,rostral division of ventral posterior lateral nucleus,VPLr,266441511,1129,170,255,195,,,,,,,,,,,,,rostral division of ventral posterior lateral nucleus,,,,,
747,DHBA:266441515,VPLc,caudal division of ventral posterior lateral nucleus,caudal division of ventral posterior lateral nucleus,VPLc,266441515,1130,0,130,200,,,,,,,,,,,,,caudal division of ventral posterior lateral nucleus,,,,,
748,DHBA:10425,VPM,ventral posterior medial nucleus,ventral posterior medial nucleus,VPM,10425,169,136,49,69,,,,,,,,,,,,ventral posterior medial nucleus,,,,,,
749,DHBA:AA30294,VPS,ventral posterior superior nucleus,,,,1131,70,240,240,,,,,,,,,,,,ventral posterior superior nucleus,,,,,,
750,DHBA:146034766,VPpc,parvicellular division of ventral posterior nucleus,parvocellular division of VPM,VPMpc,146034766,1132,255,250,200,,,,,,,,,,,,parvicellular division of ventral posterior nucleus,,,,,,
751,DHBA:10426,VPI,ventral posterior inferior nucleus,ventral posterior inferior nucleus,VPI,10426,170,144,26,188,,,,,,,,,,,,ventral posterior inferior nucleus,,,,,,
752,DHBA:13040,VMb,basal ventral medial nucleus,basal ventral medial nucleus,VMb,13040,171,143,106,163,,,,,,,,,,,,basal ventral medial nucleus,,,,,,
753,DHBA:10428,PoN,posterior nuclear complex of thalamus,posterior nuclear complex of thalamus,PoN,10428,173,147,21,65,,,,,,,,,posterior nuclear complex of thalamus,,,,,,,,,
754,DHBA:AA30295,LGC,lateral geniculate nuclear complex,,,,1133,170,110,40,,,,,,,,,,lateral geniculate nuclear complex,,,,,,,,
755,DHBA:10429,LG,lateral geniculate nucleus (dorsal lateral geniculate nucleus),lateral geniculate nucleus,LG,10429,174,98,249,223,,,,,,,,,,,lateral geniculate nucleus (dorsal lateral geniculate nucleus),,,,,,,
756,DHBA:10431,LGmc,magnocellular layers of LG,magnocellular layer of DLG,DLGmc,10431,1134,0,128,128,,,,,,,,,,,,magnocellular layers of LG,,,,,,
757,DHBA:11571,LG1,layer 1 of LG,layer 1 of DLG,DLG1,11571,1135,255,250,200,,,,,,,,,,,,,layer 1 of LG,,,,,
758,DHBA:11572,LG2,layer 2 of LG,layer 2 of DLG,DLG2,11572,1136,210,245,60,,,,,,,,,,,,,layer 2 of LG,,,,,
759,DHBA:10432,LGpc,parvicellular layers of LG,parvicellular layer of DLG,DLGpc,10432,1137,0,128,128,,,,,,,,,,,,parvicellular layers of LG,,,,,,
760,DHBA:11573,LG3,layer 3 of LG,layer 3 of DLG,DLG3,11573,1138,240,50,230,,,,,,,,,,,,,layer 3 of LG,,,,,
761,DHBA:11574,LG4,layer 4 of LG,layer 4 of DLG,DLG4,11574,1139,220,190,255,,,,,,,,,,,,,layer 4 of LG,,,,,
762,DHBA:11575,LG5,layer 5 of LG,layer 5 of DLG,DLG5,11575,1140,230,25,75,,,,,,,,,,,,,layer 5 of LG,,,,,
